director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title
Jon Avnet,Richard Gere,Peter Dinklage,Walton Goggins,Drama,three christs
Anthony Jerjen,Josh Hartnett,Margarita Levieva,Chandler Riggs,Drama Thriller Crime,inherit the viper
Andrew Desmond,Freya Tingley,Simon Abkarian,Rutger Hauer,Horror Thriller Mystery,the sonata
Daniel Farrands,Mena Suvari,Nick Stahl,Taryn Manning,Thriller Drama Crime,the murder of nicole brown simpson
Adil El Arbi and Bilall Fallah,Will Smith,Martin Lawrence,Vanessa Hudgens,Thriller Action Crime,bad boys for life
Stephen Gaghan,Robert Downey Jr.,Antonio Banderas,Michael Sheen,Family Fantasy Adventure,dolittle
Tyler Perry,Crystal R. Fox,Phylicia Rashad,Bresha Webb,Drama Fantasy Thriller,a fall from grace
Guy Ritchie,Matthew McConaughey,Charlie Hunnam,Henry Golding,Action Crime Comedy,the gentlemen
Floria Sigismondi,Mackenzie Davis,Finn Wolfhard,Brooklynn Prince,Horror Thriller,the turning
Todd Robinson,Sebastian Stan,Christopher Plummer,William Hurt,War Drama,the last full measure
David Bruckner,Rebecca Hall,Sarah Goldberg,Stacy Martin,Horror Thriller,the night house
Will Forbes,Terry Crews,Ludacris,Jamila Velazquez,Drama Thriller,john henry
Reed Morano,Blake Lively,Jude Law,Sterling K. Brown,Action Thriller,the rhythm section
Oz Perkins,Sophia Lillis,Sammy Leakey,Charles Babalola,Horror Fantasy Thriller,gretel & hansel
Cathy Yan,Margot Robbie,Mary Elizabeth Winstead,Jurnee Smollett-Bell,Action Crime,birds of prey
"Veronika Franz, Severin Fiala (directors/screenplay); Sergio Casci (screenplay); Riley Keough, Jaeden Martell, Lia McHugh, Richard Armitage, Alicia Silverstone",Riley Keough,Jaeden Martell,Lia McHugh,Drama Horror Thriller,the lodge
Tom McCarthy,Winslow Fegley,Ophelia Lovibond,Craig Robinson,Family Mystery Comedy Fantasy,timmy failure: mistakes were made
Jeff Baena,Alison Brie,Debby Ryan,John Paul Reynolds,Drama,horse girl
Michael Fimognari,Lana Condor,Noah Centineo,Jordan Fisher,Romance Comedy,to all the boys: p.s. i still love you
Jeff Fowler,James Marsden,Ben Schwartz,Tika Sumpter,Action Science Fiction Comedy Family,sonic the hedgehog
Jeff Wadlow,Michael Peña,Maggie Q,Lucy Hale,Horror Fantasy Adventure Mystery,fantasy island
Stella Meghie,Issa Rae,Lakeith Stanfield,Chelsea Peretti,Drama Romance,the photograph
"Nat Faxon, Jim Rash",Julia Louis-Dreyfus,Will Ferrell,Miranda Otto,Drama Comedy,downhill
Drew Mylrea,Drew Van Acker,Poppy Delevingne,Natasha Bassett,Action Adventure Comedy,spy intervention
Lone Scherfig,Andrea Riseborough,Tahar Rahim,Zoe Kazan,Drama,the kindness of strangers
Chris Sanders,Harrison Ford,Dan Stevens,Omar Sy,Drama Adventure Family,the call of the wild
"Dee Rees (director, screenplay); Marco Villalobos (screenplay); Anne Hathaway, Ben Affleck, Rosie Perez, Edi Gathegi, Mel Rodriguez, Toby Jones, Willem Dafoe",Anne Hathaway,Ben Affleck,Rosie Perez,Drama Thriller,the last thing he wanted
William Brent Bell,Katie Holmes,Owain Yeoman,Christopher Convery,Horror Mystery Thriller,brahms: the boy ii
Michael Cristofer,Tye Sheridan,Ana de Armas,Helen Hunt,Thriller Crime Drama,the night clerk
Chris Henchy,Brian Quinn,Joe Gatto,Sal Vulcano,Comedy,impractical jokers: the movie
Leigh Whannell,Elisabeth Moss,Aldis Hodge,Storm Reid,Thriller Science Fiction Horror,the invisible man
Brett Haley,Elle Fanning,Justice Smith,Alexandra Shipp,Romance Drama,all the bright places
Jason Lei Howden,Daniel Radcliffe,Samara Weaving,Natasha Liu Bordizzo,Comedy Action,guns akimbo
Dan Scanlon,Tom Holland,Chris Pratt,Julia Louis-Dreyfus,Family Animation Adventure Comedy Fantasy,onward
Gavin O'Connor,Ben Affleck,Al Madrigal,Michaela Watkins,Drama,the way back
Peter Berg,Mark Wahlberg,Winston Duke,Alan Arkin,Comedy Action Thriller,spenser confidential
George Nolfi,Anthony Mackie,Nicholas Hoult,Nia Long,Drama,the banker
Giuseppe Capotondi,Claes Bang,Elizabeth Debicki,Mick Jagger,Thriller Drama Mystery,the burnt orange heresy
Carlo Mirabella-Davis,Haley Bennett,Austin Stowell,Elizabeth Marvel,Thriller Drama Horror,swallow
Kelly Reichardt,John Magaro,Orion Hall,René Auberjonois,Drama Western History,first cow
Dave S. F. Wilson,Vin Diesel,Eiza González,Sam Heughan,Action Science Fiction,bloodshot
Craig Zobel,Betty Gilpin,Ike Barinholtz,Amy Madigan,Action Thriller Horror,the hunt
Erwin Brothers,KJ Apa,Britt Robertson,Shania Twain,Music Drama Romance,i still believe
Liz Garbus,Amy Ryan,Thomasin McKenzie,Lola Kirke,Drama Mystery Thriller History,lost girls
Julia Hart,Grace VanderWaal,Graham Verchere,Giancarlo Esposito,Comedy Drama Romance,stargirl
Sally Potter,Javier Bardem,Elle Fanning,Laura Linney,Drama,the roads not taken
Eliza Hittman,Sidney Flanigan,Talia Ryder,Theodore Pellerin,Drama,never rarely sometimes always
Jason Orley,Pete Davidson,Griffin Gluck,Jon Cryer,Comedy,big time adolescence
Katharine O'Brien,Simon Pegg,Juno Temple,Alexandra Daddario,Drama,lost transmissions
Jonathan Jakubowicz,Jesse Eisenberg,Ed Harris,Clémence Poésy,War History Drama,resistance
Prentice Penny,Mamoudou Athie,Courtney B. Vance,Niecy Nash,Drama Comedy,uncorked
Michael Dowse,Ed Helms,Taraji P. Henson,Betty Gilpin,Comedy Action Crime,coffee & kareem
Walt Dohrn,Anna Kendrick,Justin Timberlake,Rachel Bloom,Family Animation Comedy Fantasy Adventure Music,trolls world tour
Dean Craig,Olivia Munn,Sam Claflin,Freida Pinto,Comedy Romance,love wedding repeat
Jay Karas,Seth Carr,Tichina Arnold,Ken Marino,Family Comedy,the main event
Marc Meyers,Alexandra Daddario,Keean Johnson,Logan Miller,Horror Thriller,we summon the darkness
Vicky Wight,Leslie Bibb,Josh Duhamel,Nora Dunn,Romance Drama,the lost husband
Charles Band,Cody Renee Cameron,Russell Coker,Robin Sydney,Horror Comedy,corona zombies
Greg Barker,Wagner Moura,Ana de Armas,Garret Dillahunt,Drama,sergio
Kris Pearn,Will Forte,Maya Rudolph,Alessia Cara,Animation Comedy Family,the willoughbys
Sam Hargrave,Chris Hemsworth,Rudhraksh Jaiswal,Randeep Hooda,Drama Action Thriller,extraction
Sean McEwen,Tom Felton,Tammin Sursok,Wendi McLendon-Covey,Drama Comedy,braking for whales
Cory Finley,Hugh Jackman,Allison Janney,Geraldine Viswanathan,Drama Crime History TV Movie,bad education
Michael Scott,Camila Mendes,Jessie T. Usher,Jamie Chung,Thriller,dangerous lies
Joe Robert Cole,Ashton Sanders,Jeffrey Wright,Yahya Abdul-Mateen II,Drama,all day and a night
The Pierce Brothers,John-Paul Howard,Piper Curda,Zarah Mahler,Horror Mystery Thriller,the wretched
Alice Wu,Leah Lewis,Daniel Diemer,Alexxis Lemire,Comedy Romance,the half of it
Clark Duke,Liam Hemsworth,Clark Duke,Michael Kenneth Williams,Crime,arkansas
Rachel Lee Goldenberg,Jessica Rothe,Josh Whitehouse,Mae Whitman,Comedy Romance,valley girl
Josh Trank,Tom Hardy,Linda Cardellini,Jack Lowden,Crime Drama,capone
Tyler Spindel,David Spade,Lauren Lapkus,Geoff Pierson,Comedy Romance,the wrong missy
Tony Cervone,Will Forte,Mark Wahlberg,Jason Isaacs,Animation Family Comedy Adventure,scoob!
John Barr,Tom Berenger,Kristen Hager,Mark Sivertsen,Thriller Crime,blood and money
Malik Vitthal,Mary J. Blige,Nat Wolff,David Zayas,Horror Thriller Mystery,body cam
Michael Showalter,Issa Rae,Kumail Nanjiani,Paul Sparks,Comedy Action Romance,the lovebirds
Vaughn Stein,Lily Collins,Simon Pegg,Chace Crawford,Thriller,inheritance
Nisha Ganatra,Dakota Johnson,Tracee Ellis Ross,Kelvin Harrison Jr.,Romance Comedy Music Drama,the high note
Josephine Decker,Elisabeth Moss,Michael Stuhlbarg,Odessa Young,Drama Thriller,shirley
Olivier Megaton,Édgar Ramírez,Anna Brewster,Michael Pitt,Action Crime Thriller,the last days of american crime
"Jonathan Milott, Cary Murnion",Lulu Wilson,Kevin James,Joel McHale,Horror Crime Thriller,becky
Kenneth Branagh,Ferdia Shaw,Lara McDonnell,Josh Gad,Adventure Fantasy Science Fiction Family Action,artemis fowl
Spike Lee,Delroy Lindo,Jonathan Majors,Clarke Peters,War Drama,da 5 bloods
Judd Apatow,Pete Davidson,Marisa Tomei,Bill Burr,Comedy Drama,the king of staten island
Kaare Andrews,Chad Michael Collins,Tom Berenger,Sayaka Akimoto,Action,sniper: assassin's end
Olivier Assayas,Penélope Cruz,Édgar Ramírez,Gael García Bernal,Drama History Thriller,wasp network
Elissa Down,Elissa Down (director); Sofia Carson,Enrico Colantoni,Wolfgang Novogratz,Comedy Music Drama,feel the beat
David Dobkin,Will Ferrell,Rachel McAdams,Dan Stevens,Comedy Music,eurovision song contest: the story of fire saga
Jon Stewart,Steve Carell,Chris Cooper,Mackenzie Davis,Comedy Drama,irresistible
Peter Segal,Dave Bautista,Chloe Coleman,Kristen Schaal,Family Action Comedy,my spy
Thomas Kail,Thomas Kail (director); Lin-Manuel Miranda,Phillipa Soo,Leslie Odom Jr.,Music History Drama,hamilton
Natalie Erika James,Emily Mortimer,Robyn Nevin,Bella Heathcote,Horror Drama Mystery Thriller,relic
LP,Anna Camp,Robbie Amell,Nasim Pedrad,Comedy Romance,desperados
Gina Prince-Bythewood,Charlize Theron,KiKi Layne,Marwan Kenzari,Action Fantasy,the old guard
Aaron Schneider,Tom Hanks,Stephen Graham,Rob Morgan,War Action Drama,greyhound
Max Barbakow,Andy Samberg,Cristin Milioti,Peter Gallagher,Comedy Romance Fantasy Mystery Science Fiction,palm springs
Peter Sullivan,Nia Long,Omar Epps,Stephen Bishop,Thriller,fatal affair
Robin Pront,Annabelle Wallis,Hero Fiennes-Tiffin,Nikolaj Coster-Waldau,Action Crime Thriller,the silencing
The Brothers Riedell,Lucy Hale,Leonidas Gulaptis,Jackie Cruz,Comedy Romance,a nice girl like you
Eric Bress,Brenton Thwaites,Theo Rossi,Skylar Astin,Horror Thriller War Fantasy,ghosts of war
"Scott Christian Sava, Tony Bancroft",John Krasinski,Emily Blunt,Ian McKellen,Comedy Animation Adventure,animal crackers
Vince Marcello,Joey King,Joel Courtney,Jacob Elordi,Comedy Romance,the kissing booth 2
Dave Franco,Dan Stevens,Alison Brie,Sheila Vand,Horror Thriller Drama,the rental
John Pogue,Tania Raymonde,Nathaniel Buzolic,Emerson Brooks,Action Horror Science Fiction,deep blue sea 3
Andy Tennant,Katie Holmes,Josh Lucas,Jerry O'Connell,Drama Romance,the secret: dare to dream
Jessica Swale,Gemma Arterton,Gugu Mbatha-Raw,Penelope Wilton,Drama War Romance,summerland
Amy Seimetz,Kate Lyn Sheil,Jane Adams,Kentucker Audley,Drama,she dies tomorrow
David Ayer,Bobby Soto,Shia LaBeouf,Cinthya Carmona,Action Crime Drama,the tax collector
Ciro Guerra,Mark Rylance,Johnny Depp,Robert Pattinson,Drama History,waiting for the barbarians
"Henry Joost, Ariel Schulman",Jamie Foxx,Joseph Gordon-Levitt,Dominique Fishback,Action Crime Science Fiction,project power
Mark Waters,Adam DeVine,Gillian Jacobs,Jeffrey Tambor,Comedy Family Fantasy,magic camp
Eugene Kotlyarenko,Joe Keery,Sasheer Zamata,Mischa Barton,Horror Comedy Crime Thriller,spree
Thea Sharrock,Sam Rockwell,Angelina Jolie,Danny DeVito,Family Comedy Drama,the one and only ivan
Derrick Borte,Russell Crowe,Caren Pistorius,Gabriel Bateman,Action Thriller,unhinged
Michael Almereyda,Ethan Hawke,Eve Hewson,Ebon Moss-Bachrach,Drama History,tesla
RZA,Shameik Moore,T.I.,Demetrius Shipp Jr.,Action Crime Drama Thriller,cut throat city
Thor Freudenthal,Charlie Plummer,Andy García,Taylor Russell,Drama Romance,words on bathroom walls
Christopher Nolan,John David Washington,Robert Pattinson,Elizabeth Debicki,Action Thriller Science Fiction,tenet
Dean Parisot,Keanu Reeves,Alex Winter,Kristen Schaal,Comedy Science Fiction Adventure,bill & ted face the music
Josh Boone,Maisie Williams,Anya Taylor-Joy,Charlie Heaton,Action Horror Science Fiction,the new mutants
Armando Iannucci,Dev Patel,Aneurin Barnard,Peter Capaldi,Drama Comedy,the personal history of david copperfield
Charlie Kaufman,Jesse Plemons,Jessie Buckley,Toni Collette,Drama Thriller,i'm thinking of ending things
Bob Bowen,Vincent Martella,Ashley Tisdale,David Errigo Jr.,Family Animation Science Fiction Comedy Music Adventure TV Movie,phineas and ferb the movie: candace against the universe
Brett Haley,Auliʻi Cravalho,Rhenzy Feliz,Judy Reyes,Drama,all together now
Brendan Walsh,Genesis Rodriguez,Vincent Piazza,Louis Cancelmi,Thriller,centigrade
Jeremy Garelick,Skyler Gisondo,Eduardo Franco,Dexter Darden,Comedy,the binge
Niki Caro,Liu Yifei,Donnie Yen,Tzi Ma,Adventure Fantasy,mulan
John Leguizamo,John Leguizamo,Jorge Lendeborg Jr.,Angel Bismark Curiel,Drama,critical thinking
Julius Berg,Maisie Williams,Sylvester McCoy,Rita Tushingham,Thriller Horror,the owners
Sam Macaroni,Pauly Shore,Mike Castle,Aimee Teegarden,Comedy,guest house
McG,Judah Lewis,Emily Alyn Lind,Jenna Ortega,Comedy Horror,the babysitter: killer queen
Rachel Lee Goldenberg,Haley Lu Richardson,Barbie Ferreira,Alex MacNicoll,Drama Comedy,unpregnant
Antonio Campos,Tom Holland,Bill Skarsgård,Riley Keough,Crime Drama Thriller,the devil all the time
Natalie Krinsky,Geraldine Viswanathan,Dacre Montgomery,Utkarsh Ambudkar,Comedy Romance,the broken hearts gallery
Luke Eve,Brenton Thwaites,Lily Sullivan,Joel Jackson,Comedy Drama Romance,i met a girl
Jon Stevenson,Wil Wheaton,Brian Landis Folkins,Kathleen Brady,Horror Thriller,rent-a-pal
Sean McNamara,Melissa Rauch,Max Greenfield,George Lopez,Comedy Action,cats & dogs 3: paws unite!
Yuval Adler,Noomi Rapace,Joel Kinnaman,Chris Messina,Thriller,the secrets we keep
"Gerard Bush, Christopher Renz (directors/screenplay); Janelle Monáe, Eric Lange, Jena Malone, Jack Huston, Kiersey Clemons, Gabourey Sidibe",Janelle Monáe,Eric Lange,Jena Malone,Horror,antebellum
Sean Durkin,Jude Law,Carrie Coon,Charlie Shotwell,Drama Romance,the nest
Roger Michell,Susan Sarandon,Kate Winslet,Mia Wasikowska,Drama,blackbird
William Olsson,Alexandra Daddario,Takehiro Hira,Carice van Houten,Drama,lost girls & love hotels
Taylor A. Purdee,Taylor A. Purdee,John Donchak,Nathan Purdee,Drama Music,killian & the comeback kids
Harry Bradbeer,Millie Bobby Brown,Henry Cavill,Sam Claflin,Mystery Crime Adventure,enola holmes
Aaron Sorkin,Yahya Abdul-Mateen II,Sacha Baron Cohen,Danny Flaherty,Drama History,the trial of the chicago 7
Tate Taylor,Jessica Chastain,John Malkovich,Common,Action Crime Drama Thriller,ava
Miranda July,Evan Rachel Wood,Richard Jenkins,Debra Winger,Crime Drama Comedy,kajillionaire
Andrew Cohn,Richard Jenkins,Shane Paul McGhie,Da'Vine Joy Randolph,Comedy Drama,the last shift
Anna Mastro,Peyton Elizabeth Lee,Skylar Astin,Élodie Yung,Action Adventure Comedy Fantasy,secret society of second-born royals
Marc Carlini,Tommy Dewey,François Arnaud,Minka Kelly,Comedy Drama,she's in portland
Joe Mantello,Jim Parsons,Zachary Quinto,Matt Bomer,Drama,the boys in the band
Julie Taymor,Julianne Moore,Alicia Vikander,Timothy Hutton,Drama,the glorias
Sofia Coppola,Rashida Jones,Bill Murray,Marlon Wayans,Drama Comedy,on the rocks
Brian Duffield,Katherine Langford,Charlie Plummer,Hayley Law,Comedy Horror,spontaneous
Osmany Rodriguez,Jaden Michael,Gerald W. Jones III,Gregory Diaz IV,Comedy Horror,vampires vs. the bronx
Brandon Cronenberg,Andrea Riseborough,Christopher Abbott,Rossif Sutherland,Thriller Science Fiction Horror,possessor
Darren Lynn Bousman,Maggie Q,Alex Essoe,Luke Hemsworth,Horror Mystery,death of me
Mike Elliott,Madison Pettis,Lizze Broadway,Piper Curda,Comedy,american pie presents: girls' rules
Veena Sud,Mireille Enos,Peter Sarsgaard,Joey King,Horror Drama Mystery Thriller,the lie
Steven Brill,Adam Sandler,Kevin James,Julie Bowen,Comedy Fantasy Mystery Horror,hubie halloween
Brannon Braga,Britt Robertson,Anna Friel,Rafi Gavron,Horror Science Fiction,books of blood
Angel Manuel Soto,Jahi Di'Allo Winston,Meek Mill,Will Catlett,Drama,charm city kings
Tim Hill,Robert De Niro,Uma Thurman,Rob Riggle,Comedy Family Drama,the war with grandpa
Woody Allen,Timothée Chalamet,Elle Fanning,Selena Gomez,Comedy Romance,a rainy day in new york
Diane Paragas,Eva Noblezada,Dale Watson,Princess Punzalan,Drama Music,yellow rose
Radha Blank,Radha Blank,Peter Kim,Oswin Benjamin,Comedy Drama,the 40-year-old version
Zu Quirke,Sydney Sweeney,Madison Iseman,Jacques Colimon,Horror Mystery Thriller,nocturne
"Elan Dassani, Rajeev Dassani",Sarita Choudhury,Sunita Mani,Omar Maskati,Mystery Thriller,evil eye
Rachel Talalay,Tamara Smart,Oona Laurence,Tom Felton,Family Fantasy Adventure Comedy,a babysitter's guide to monster hunting
Michael Matthews,Dylan O'Brien,Jessica Henwick,Dan Ewing,Comedy Action Adventure Fantasy,love and monsters
Mark Williams,Liam Neeson,Kate Walsh,Robert Patrick,Thriller Action Crime Drama,honest thief
Justin Baldoni,Fin Argus,Sabrina Carpenter,Madison Iseman,Music Drama Romance,clouds
Edward James Olmos,David Strathairn,Kate Bosworth,Pablo Schreiber,Drama Thriller,the devil has a name
Evan Morgan,Adam Brody,Sophie Nélisse,Tzi Ma,Comedy Drama Mystery,the kid detective
Johnny Martin,Tyler Posey,Summer Spiro,Robert Ri'chard,Thriller Horror Drama,alone
Lance Hool,Jacob Elordi,Adan Canto,Tiera Skovbye,Romance Drama,2 hearts
Steve Byrne,Jimmy O. Yang,Alex Moffat,Cedric the Entertainer,Comedy,the opening act
Robert Zemeckis,Anne Hathaway,Octavia Spencer,Stanley Tucci,Family Fantasy Adventure Comedy Horror,the witches
Glen Keane,Cathy Ang,Phillipa Soo,Ken Jeong,Animation Adventure Family Fantasy,over the moon
Roger Kumble,Josephine Langford,Hero Fiennes Tiffin,Dylan Sprouse,Romance Drama,after we collided
David Prior,James Badge Dale,Marin Ireland,Stephen Root,Horror Crime Thriller,the empty man
Kurt Wimmer,Elena Kampouris,Kate Moyer,Callan Mulvey,Horror Thriller,children of the corn
Justin Simien,Elle Lorraine,Vanessa Williams,Jay Pharoah,Horror,bad hair
Nicol Paone,Malin Åkerman,Kat Dennings,Aisha Tyler,Comedy,friendsgiving
Zoe Lister-Jones,Cailee Spaeny,Gideon Adlon,Lovie Simone,Horror Drama Fantasy,the craft: legacy
John Whitesell,Emma Roberts,Luke Bracey,Kristin Chenoweth,Comedy Romance,holidate
Jacob Chase,Gillian Jacobs,John Gallagher Jr.,Azhy Robertson,Horror Mystery,come play
Max Winkler,Charlie Hunnam,Jack O'Connell,Jessica Barden,Drama,jungleland
Thomas Bezucha,Diane Lane,Kevin Costner,Lesley Manville,Drama Thriller Crime,let him go
Andrea Di Stefano,Joel Kinnaman,Rosamund Pike,Common,Drama Crime Thriller,the informer
Bryan Bertino,Marin Ireland,Michael Abbott Jr.,Xander Berkeley,Horror,the dark and the wicked
Ron Howard,Amy Adams,Glenn Close,Gabriel Basso,Drama,hillbilly elegy
David Fincher,Gary Oldman,Amanda Seyfried,Lily Collins,Drama History,mank
Christopher Landon,Vince Vaughn,Kathryn Newton,Katie Finneran,Horror Thriller Comedy Fantasy,freaky
David E. Talbert,Forest Whitaker,Keegan-Michael Key,Hugh Bonneville,Family Fantasy Music,jingle jangle: a christmas journey
Miles Joris-Peyrafitte,Finn Cole,Margot Robbie,Travis Fimmel,Thriller Drama,dreamland
"Eshom Nelms, Ian Nelms (directors/screenplay); Mel Gibson, Walton Goggins, Marianne Jean-Baptiste",Mel Gibson,Walton Goggins,Marianne Jean-Baptiste,Action Comedy Fantasy,fatman
Edoardo Ponti,Sophia Loren,Ibrahima Gueye,Abril Zamora,Drama,the life ahead
Michael Angelo Covino,Kyle Marvin,Michael Angelo Covino,Gayle Rankin,Comedy Drama,the climb
Paul Leyden,Malin Åkerman,Bella Thorne,Fortune Feimster,Action Comedy,chick fight
Michael Rohl,Vanessa Hudgens,Sam Palladio,Nick Sagar,Family Romance Comedy Drama,the princess switch: switched again
Aneesh Chaganty,Sarah Paulson,Kiera Allen,Pat Healy,Thriller Horror Drama,run
Darius Marder,Riz Ahmed,Olivia Cooke,Paul Raci,Drama Music,sound of metal
Dan Friedkin,Guy Pearce,Claes Bang,Vicky Krieps,Drama,the last vermeer
Dimitri Logothetis,Alain Moussi,Frank Grillo,JuJu Chan,Fantasy Action Science Fiction,jiu jitsu
Josh Duhamel,Josh Duhamel,Dax Shepard,Olivia Munn,Comedy Drama,buddy games
Joel Crawford,Nicolas Cage,Emma Stone,Ryan Reynolds,Family Fantasy Animation Comedy,the croods: a new age
Clea DuVall,Kristen Stewart,Mackenzie Davis,Alison Brie,Romance Comedy,happiest season
George C. Wolfe,Viola Davis,Chadwick Boseman,Glynn Turman,Drama Music,ma rainey's black bottom
Chris Columbus,Kurt Russell,Goldie Hawn,Darby Camp,Family Fantasy Adventure Comedy,the christmas chronicles 2
Alan Ball,Paul Bettany,Sophia Lillis,Peter Macdissi,Drama,uncle frank
Taylor Swift,Taylor Swift,Jack Antonoff,Aaron Dessner,Music Documentary,folklore: the long pond studio sessions
Ben Falcone,Melissa McCarthy,Bobby Cannavale,Brian Tyree Henry,Comedy Science Fiction Romance,superintelligence
Mitja Okorn,Jaden Smith,Cara Delevingne,Cuba Gooding Jr.,Drama Romance,life in a year
Ashley Avis,Mackenzie Foy,Kate Winslet,Claire Forlani,Drama,black beauty
Ryan Murphy,Meryl Streep,James Corden,Jo Ellen Pellman,Comedy Music Romance,the prom
Marc Meyers,Jessica Rothe,Harry Shum Jr.,Kyle Allen,Romance Drama,all my life
Sharon Maguire,Isla Fisher,Jillian Bell,Santiago Cabrera,Family Fantasy Comedy,godmothered
April Mullen,Aaron Eckhart,Katheryn Winnick,Heather Graham,Thriller Crime Mystery,wander
Lawrence Michael Levine,Aubrey Plaza,Christopher Abbott,Sarah Gadon,Drama Comedy Thriller,black bear
Steven Soderbergh,Meryl Streep,Candice Bergen,Gemma Chan,Comedy Drama,let them all talk
George Clooney,George Clooney,Felicity Jones,David Oyelowo,Science Fiction Drama,the midnight sky
Adam Mason,KJ Apa,Sofia Carson,Craig Robinson,Thriller Romance Drama Mystery,songbird
John Patrick Shanley,Emily Blunt,Jamie Dornan,Jon Hamm,Romance Drama,wild mountain thyme
Reginald Hudlin,Jay Reeves,Thaddeus J. Mixson,Corinne Foxx,Family Drama History,safety
Tara Miele,Sienna Miller,Diego Luna,Beth Grant,Romance Drama,wander darkly
Julia Hart,Rachel Brosnahan,Arinzé Kene,Marsha Stephanie Blake,Drama Crime,i'm your woman
Jamie Babbit,Drew Barrymore,Michael Zegen,T.J. Miller,Comedy,the stand in
Adam Egypt Mortimer,Joe Manganiello,Skylan Brooks,Zolee Griggs,Action Thriller Crime Science Fiction,archenemy
Ekwa Msangi,Ntare Mwine,Zainab Jah,Jayme Lawson,Romance Drama,farewell amor
Paul W. S. Anderson,Milla Jovovich,Tony Jaa,"Tip ""T.I."" Harris",Action Fantasy Adventure,monster hunter
Ric Roman Waugh,Gerard Butler,Morena Baccarin,David Denman,Action Thriller Drama,greenland
Deon Taylor,Hilary Swank,Michael Ealy,Mike Colter,Thriller,fatale
Liam O'Donnell,Lindsey Morgan,Jonathan Howard,Daniel Bernhardt,Science Fiction Action,skylines
Shawn Linden,Devon Sawa,Camille Sullivan,Nick Stahl,Horror Thriller,hunter hunter
Eugene Ashe,Tessa Thompson,Nnamdi Asomugha,Ryan Michelle Bathe,Drama Romance,sylvie's love
Patty Jenkins,Gal Gadot,Chris Pine,Kristen Wiig,Fantasy Action Adventure,wonder woman 1984
Pete Docter,Jamie Foxx,Tina Fey,Graham Norton,Family Animation Drama Music Fantasy,soul
Robert Rodriguez,Priyanka Chopra Jonas,Pedro Pascal,YaYa Gosselin,Action Fantasy Family Comedy,we can be heroes
Regina King,Kingsley Ben-Adir,Eli Goree,Aldis Hodge,Drama,one night in miami...
Emerald Fennell,Carey Mulligan,Bo Burnham,Alison Brie,Thriller Crime Drama,promising young woman
Kornél Mundruczó,Vanessa Kirby,Shia LaBeouf,Molly Parker,Drama,pieces of a woman
